trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,18,7.814426006922092,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,0,-7.004909581910551,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,18,1.9628861757514906,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,14,-9.425089684692669,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",25,9,-51.396985837421575,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",30,10,17.015466580483597,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,1,-13.863155197512697,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",25,8,-2.046380315161999,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,6,-0.8668278161820373,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",25,13,-0.18922339327564375,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",25,11,-12.097465696778295,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,9,27.040403779089466,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,0,-53.044372678776035,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,8,29.896123612114437,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",25,8,20.933060478227322,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",25,14,-26.849750605467396,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",30,16,9.243224597599745,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",25,5,7.5295539635888,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",35,19,24.44465802678229,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,1,-63.563107223384314,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
